2014-10-13 18:40:51 install debianutils <none> 3.4
2014-10-13 18:40:51 status half-installed debianutils 3.4
2014-10-13 18:40:51 status unpacked debianutils 3.4
2014-10-13 18:40:51 status unpacked debianutils 3.4
2014-10-13 18:40:51 install diffutils <none> 1:3.0-1
2014-10-13 18:40:51 status half-installed diffutils 1:3.0-1
2014-10-13 18:40:51 status unpacked diffutils 1:3.0-1
2014-10-13 18:40:51 status unpacked diffutils 1:3.0-1
2014-10-13 18:40:51 upgrade dpkg 1.15.11 1.15.11
2014-10-13 18:40:51 status half-configured dpkg 1.15.11
2014-10-13 18:40:51 status unpacked dpkg 1.15.11
2014-10-13 18:40:51 status half-installed dpkg 1.15.11
2014-10-13 18:40:51 status half-installed dpkg 1.15.11
2014-10-13 18:40:51 status unpacked dpkg 1.15.11
2014-10-13 18:40:51 status unpacked dpkg 1.15.11
2014-10-13 18:40:51 install e2fslibs <none> 1.41.12-4stable1
2014-10-13 18:40:51 status half-installed e2fslibs 1.41.12-4stable1
2014-10-13 18:40:51 status unpacked e2fslibs 1.41.12-4stable1
2014-10-13 18:40:51 status unpacked e2fslibs 1.41.12-4stable1
2014-10-13 18:40:51 install e2fsprogs <none> 1.41.12-4stable1
2014-10-13 18:40:51 status half-installed e2fsprogs 1.41.12-4stable1
2014-10-13 18:40:51 status unpacked e2fsprogs 1.41.12-4stable1
2014-10-13 18:40:51 status unpacked e2fsprogs 1.41.12-4stable1
2014-10-13 18:40:51 install findutils <none> 4.4.2-1+b1
2014-10-13 18:40:51 status half-installed findutils 4.4.2-1+b1
2014-10-13 18:40:52 status unpacked findutils 4.4.2-1+b1
2014-10-13 18:40:52 status unpacked findutils 4.4.2-1+b1
2014-10-13 18:40:52 install gcc-4.4-base <none> 4.4.5-8
2014-10-13 18:40:52 status half-installed gcc-4.4-base 4.4.5-8
2014-10-13 18:40:52 status unpacked gcc-4.4-base 4.4.5-8
2014-10-13 18:40:52 status unpacked gcc-4.4-base 4.4.5-8
2014-10-13 18:40:52 install grep <none> 2.6.3-3+squeeze1
